location,fips,metric,value,change (avg),growth rate,doubling time (days),severity (change),severity (growth),severity,severity (trend)
"Isle of Man, United Kingdom",,Deaths (per 100k),21.168,2.352,0.111,3.553,4,3,7,-1
Equatorial Guinea,,Deaths (per 100k),0.071277,0.010182,0.143,1.710,1,5,6,0
Sweden,,Deaths (per 100k),21.308,1.064,0.049920,11.177,4,1,5,1
Ireland,,Deaths (per 100k),20.536,1.400,0.068188,7.059,4,1,5,1
"Channel Islands, United Kingdom",,Deaths (per 100k),19.556,1.150,0.058824,8.610,4,1,5,1
"Quebec, Canada",,Deaths (per 100k),15.695,1.091,0.069510,7.311,4,1,5,-1
Finland,,Deaths (per 100k),3.195,0.245,0.076675,6.367,3,2,5,1
"Nova Scotia, Canada",,Deaths (per 100k),1.637,0.190,0.116,3.213,2,3,5,1
Belgium,,Deaths (per 100k),57.629,1.869,0.032426,19.034,4,0,4,0
United Kingdom,,Deaths (per 100k),28.733,1.037,0.036106,16.764,4,0,4,0
"St Martin, France",,Deaths (per 100k),7.759,0.369,0.047619,10.047,3,1,4,4
Canada,,Deaths (per 100k),6.296,0.389,0.061729,8.592,3,1,4,-1
"Ontario, Canada",,Deaths (per 100k),5.859,0.328,0.056016,9.704,3,1,4,0
"Martinique, France",,Deaths (per 100k),3.731,0.228,0.061224,9.816,3,1,4,0
Peru,,Deaths (per 100k),1.923,0.145,0.075259,6.730,2,2,4,0
Mexico,,Deaths (per 100k),0.947,0.081438,0.085995,5.060,2,2,4,1
Latvia,,Deaths (per 100k),0.636,0.053017,0.083333,5.389,2,2,4,1
"French Guiana, France",,Deaths (per 100k),0.335,0.047829,0.143,3.106,1,3,4,-2
Martinique,,Deaths (per 100k),0.266,0.038068,0.143,3.106,1,3,4,-2
Gabon,,Deaths (per 100k),0.135,0.012837,0.095238,3.106,1,3,4,4
San Marino,,Deaths (per 100k),117.886,0.421,0.003571,191.655,3,0,3,-1
Andorra,,Deaths (per 100k),51.770,0.924,0.017857,35.557,3,0,3,0
Spain,,Deaths (per 100k),48.175,0.771,0.015996,40.611,3,0,3,0
Italy,,Deaths (per 100k),42.951,0.762,0.017735,36.686,3,0,3,0
France,,Deaths (per 100k),34.080,0.780,0.022888,27.958,3,0,3,0
"Sint Maarten, Netherlands",,Deaths (per 100k),27.988,1.000,0.035714,16.749,3,0,3,0
Netherlands,,Deaths (per 100k),25.031,0.692,0.027645,22.594,3,0,3,0
Switzerland,,Deaths (per 100k),18.360,0.432,0.023555,26.941,3,0,3,0
US,,Deaths (per 100k),15.694,0.655,0.041733,14.010,3,0,3,-1
Luxembourg,,Deaths (per 100k),13.579,0.297,0.021849,28.764,3,0,3,0
Monaco,,Deaths (per 100k),10.193,0.364,0.035714,15.593,3,0,3,3
Portugal,,Deaths (per 100k),8.375,0.276,0.032954,18.500,3,0,3,0
Germany,,Deaths (per 100k),6.875,0.240,0.034921,17.154,3,0,3,0
Turkey,,Deaths (per 100k),3.083,0.141,0.045659,12.807,2,1,3,0
"Guadeloupe, France",,Deaths (per 100k),2.999,0.143,0.047619,12.127,2,1,3,0
Hungary,,Deaths (per 100k),2.712,0.157,0.057797,9.451,2,1,3,0
Moldova,,Deaths (per 100k),2.082,0.099158,0.047619,12.152,2,1,3,0
Brazil,,Deaths (per 100k),1.743,0.105,0.060282,8.556,2,1,3,0
"Alberta, Canada",,Deaths (per 100k),1.631,0.071216,0.043651,13.135,2,1,3,1
Poland,,Deaths (per 100k),1.305,0.061149,0.046848,11.896,2,1,3,0
Russia,,Deaths (per 100k),0.421,0.033479,0.079443,6.169,1,2,3,0
Kuwait,,Deaths (per 100k),0.351,0.033452,0.095238,4.844,1,2,3,-1
Denmark,,Deaths (per 100k),6.958,0.165,0.023750,26.716,2,0,2,0
Iran,,Deaths (per 100k),6.636,0.105,0.015788,41.400,2,0,2,0
Austria,,Deaths (per 100k),5.885,0.157,0.026685,23.583,2,0,2,0
Slovenia,,Deaths (per 100k),3.848,0.096203,0.025000,26.190,2,0,2,0
Norway,,Deaths (per 100k),3.671,0.100,0.027279,22.854,2,0,2,0
Panama,,Deaths (per 100k),3.569,0.149,0.041744,14.114,2,0,2,-1
Estonia,,Deaths (per 100k),3.468,0.086154,0.024845,25.298,2,0,2,0
Ecuador,,Deaths (per 100k),3.265,0.126,0.038442,15.884,2,0,2,0
Romania,,Deaths (per 100k),2.947,0.116,0.039305,15.131,2,0,2,0
Bahamas,,Deaths (per 100k),2.797,0.072656,0.025974,22.872,2,0,2,1
North Macedonia,,Deaths (per 100k),2.736,0.054856,0.020050,32.403,2,0,2,0
Global,,Deaths (per 100k),2.536,0.079622,0.031401,19.520,2,0,2,0
Dominican Republic,,Deaths (per 100k),2.461,0.088233,0.035848,17.394,2,0,2,0
Israel,,Deaths (per 100k),2.241,0.070970,0.031664,20.156,2,0,2,-1
Czechia,,Deaths (per 100k),1.998,0.054694,0.027370,23.219,2,0,2,0
"British Columbia, Canada",,Deaths (per 100k),1.917,0.058698,0.030612,19.786,2,0,2,0
"Tasmania, Australia",,Deaths (per 100k),1.681,0.053355,0.031746,17.673,2,0,2,1
Croatia,,Deaths (per 100k),1.242,0.052198,0.042017,14.900,2,0,2,-1
Armenia,,Deaths (per 100k),0.911,0.038568,0.042328,13.600,1,1,2,1
Chile,,Deaths (per 100k),0.910,0.043344,0.047619,12.163,1,1,2,0
Belarus,,Deaths (per 100k),0.667,0.031748,0.047619,12.160,1,1,2,0
United Arab Emirates,,Deaths (per 100k),0.647,0.038999,0.060268,8.351,1,1,2,0
Ukraine,,Deaths (per 100k),0.460,0.024826,0.054016,10.120,1,1,2,0
Colombia,,Deaths (per 100k),0.442,0.020214,0.045714,12.772,1,1,2,0
Cuba,,Deaths (per 100k),0.433,0.022703,0.052478,10.124,1,1,2,0
