location,fips,metric,value,change (avg),growth rate,doubling time (days),severity (change),severity (growth),severity,severity (trend)
New York,,Deaths (per 100k),95.669,6.545,0.068416,7.460,5,1,6,-1
Massachusetts,,Deaths (per 100k),24.752,1.969,0.079551,5.672,4,2,6,0
Rhode Island,,Deaths (per 100k),14.631,1.173,0.080184,5.342,4,2,6,0
New Jersey,,Deaths (per 100k),50.618,3.236,0.063930,7.983,4,1,5,0
Connecticut,,Deaths (per 100k),37.332,2.296,0.061500,7.343,4,1,5,-1
Louisiana,,Deaths (per 100k),28.567,1.401,0.049053,11.707,4,1,5,0
Michigan,,Deaths (per 100k),24.712,1.305,0.052790,10.452,4,1,5,0
Pennsylvania,,Deaths (per 100k),10.530,0.802,0.076198,5.564,3,2,5,0
District of Columbia,,Deaths (per 100k),14.878,0.931,0.062585,7.861,3,1,4,-1
Illinois,,Deaths (per 100k),10.646,0.643,0.060362,8.609,3,1,4,0
Maryland,,Deaths (per 100k),9.627,0.532,0.055228,7.072,3,1,4,-1
Indiana,,Deaths (per 100k),8.571,0.465,0.054221,10.028,3,1,4,0
Delaware,,Deaths (per 100k),7.394,0.469,0.063492,7.879,3,1,4,-1
Georgia,,Deaths (per 100k),7.299,0.342,0.046820,10.945,3,1,4,0
Colorado,,Deaths (per 100k),7.293,0.325,0.044558,12.862,3,1,4,0
Mississippi,,Deaths (per 100k),5.678,0.302,0.053254,9.672,3,1,4,0
Ohio,,Deaths (per 100k),4.354,0.266,0.061184,8.256,3,1,4,0
Florida,,Deaths (per 100k),3.827,0.208,0.054397,9.794,3,1,4,0
Virginia,,Deaths (per 100k),3.515,0.228,0.064762,7.150,3,1,4,1
New Mexico,,Deaths (per 100k),2.766,0.198,0.071429,6.363,2,2,4,-1
North Carolina,,Deaths (per 100k),2.079,0.151,0.072739,6.204,2,2,4,0
West Virginia,,Deaths (per 100k),1.339,0.095655,0.071429,4.786,2,2,4,-1
Wyoming,,Deaths (per 100k),0.346,0.049367,0.143,3.454,1,3,4,-1
Washington,,Deaths (per 100k),8.444,0.244,0.028882,21.118,3,0,3,0
Vermont,,Deaths (per 100k),6.090,0.252,0.041353,14.144,3,0,3,-1
Nevada,,Deaths (per 100k),5.162,0.213,0.041330,14.101,3,0,3,-1
Wisconsin,,Deaths (per 100k),3.950,0.186,0.047205,11.890,2,1,3,0
Oklahoma,,Deaths (per 100k),3.614,0.159,0.043956,13.403,2,1,3,0
Kansas,,Deaths (per 100k),3.501,0.181,0.051821,9.803,2,1,3,0
Kentucky,,Deaths (per 100k),3.447,0.157,0.045455,12.339,2,1,3,0
Alabama,,Deaths (per 100k),3.324,0.186,0.056091,9.635,2,1,3,0
Missouri,,Deaths (per 100k),3.259,0.189,0.057857,9.696,2,1,3,0
California,,Deaths (per 100k),3.100,0.194,0.062624,8.234,2,1,3,0
New Hampshire,,Deaths (per 100k),3.089,0.158,0.051020,10.047,2,1,3,0
Arizona,,Deaths (per 100k),2.624,0.135,0.051608,10.479,2,1,3,0
Maine,,Deaths (per 100k),2.604,0.159,0.061224,8.197,2,1,3,0
Minnesota,,Deaths (per 100k),2.536,0.162,0.063936,7.110,2,1,3,-1
Idaho,,Deaths (per 100k),2.518,0.136,0.053968,10.577,2,1,3,0
Iowa,,Deaths (per 100k),2.504,0.154,0.061483,8.129,2,1,3,-1
South Carolina,,Deaths (per 100k),2.389,0.105,0.044135,13.349,2,1,3,0
Oregon,,Deaths (per 100k),1.778,0.074515,0.041905,13.702,2,1,3,0
Texas,,Deaths (per 100k),1.749,0.102,0.058326,9.202,2,1,3,0
Nebraska,,Deaths (per 100k),1.706,0.081236,0.047619,9.353,2,1,3,0
Arkansas,,Deaths (per 100k),1.359,0.056806,0.041812,13.802,2,1,3,0
Montana,,Deaths (per 100k),0.936,0.053466,0.057143,9.353,2,1,3,2
Tennessee,,Deaths (per 100k),2.226,0.087858,0.039474,14.900,2,0,2,-1
Puerto Rico,,Deaths (per 100k),1.973,0.080516,0.040816,14.168,2,0,2,-1
Utah,,Deaths (per 100k),0.873,0.040104,0.045918,11.279,1,1,2,1
North Dakota,,Deaths (per 100k),1.181,0.037492,0.031746,20.792,1,0,1,-2
South Dakota,,Deaths (per 100k),0.791,0.016148,0.020408,31.537,1,0,1,0
Hawaii,,Deaths (per 100k),0.706,0.010090,0.014286,44.014,1,0,1,-1
