location,fips,metric,value,change (avg),growth rate,doubling time (days),severity (change),severity (growth),severity,severity (trend)
Guadeloupe,,Confirmed (per 100k),13.246,1.785,0.135,2.200,4,4,8,-1
Martinique,,Confirmed (per 100k),8.527,1.104,0.129,2.578,4,4,8,1
Reunion,,Confirmed (per 100k),5.026,0.622,0.124,1.836,3,5,8,4
Singapore,,Confirmed (per 100k),216.962,16.363,0.075418,6.869,5,2,7,0
Ecuador,,Confirmed (per 100k),128.770,11.091,0.086127,4.577,5,2,7,3
Maldives,,Confirmed (per 100k),32.745,3.753,0.115,3.077,4,3,7,0
Equatorial Guinea,,Confirmed (per 100k),18.389,1.823,0.099114,3.052,4,3,7,3
Qatar,,Confirmed (per 100k),324.812,21.569,0.066406,7.740,5,1,6,0
Bahrain,,Confirmed (per 100k),152.094,6.842,0.044988,12.502,5,1,6,2
"Mayotte, France",,Confirmed (per 100k),139.289,6.598,0.047368,11.967,5,1,6,2
Belarus,,Confirmed (per 100k),101.489,7.273,0.071667,7.058,5,1,6,0
United Arab Emirates,,Confirmed (per 100k),99.217,5.071,0.051113,11.078,5,1,6,1
"Alberta, Canada",,Confirmed (per 100k),95.918,5.409,0.056394,9.678,5,1,6,0
San Marino,,Confirmed (per 100k),1511.892,24.419,0.016151,40.453,5,0,5,0
Andorra,,Confirmed (per 100k),955.154,6.286,0.006581,102.850,5,0,5,0
Spain,,Confirmed (per 100k),478.580,9.788,0.020451,31.417,5,0,5,0
Belgium,,Confirmed (per 100k),391.083,10.036,0.025662,24.658,5,0,5,0
Ireland,,Confirmed (per 100k),375.897,11.003,0.029270,21.152,5,0,5,0
US,,Confirmed (per 100k),283.428,8.889,0.031362,19.535,5,0,5,0
"Quebec, Canada",,Confirmed (per 100k),272.522,9.615,0.035280,17.273,5,0,5,0
Portugal,,Confirmed (per 100k),229.407,5.194,0.022639,28.255,5,0,5,1
United Kingdom,,Confirmed (per 100k),218.568,7.189,0.032889,18.670,5,0,5,0
Sweden,,Confirmed (per 100k),179.983,6.160,0.034227,17.634,5,0,5,0
"Bermuda, United Kingdom",,Confirmed (per 100k),175.022,5.964,0.034076,17.353,5,0,5,1
"Nova Scotia, Canada",,Confirmed (per 100k),84.607,3.625,0.042840,13.589,4,1,5,1
Peru,,Confirmed (per 100k),76.826,4.727,0.061534,8.348,4,1,5,0
Kuwait,,Confirmed (per 100k),67.719,3.817,0.056362,9.456,4,1,5,0
Russia,,Confirmed (per 100k),51.111,3.700,0.072388,7.107,4,1,5,-1
Saudi Arabia,,Confirmed (per 100k),46.818,3.293,0.070337,7.385,4,1,5,-1
Oman,,Confirmed (per 100k),37.304,2.028,0.054368,10.366,4,1,5,0
Brazil,,Confirmed (per 100k),27.909,1.523,0.054582,9.791,4,1,5,0
Mexico,,Confirmed (per 100k),10.736,0.772,0.071903,6.848,3,2,5,0
French Guiana,,Confirmed (per 100k),6.026,0.622,0.103,4.016,3,2,5,0
Eswatini,,Confirmed (per 100k),4.827,0.419,0.086735,4.354,3,2,5,2
Aruba,,Confirmed (per 100k),3.747,0.268,0.071429,5.538,3,2,5,0
Bangladesh,,Confirmed (per 100k),3.035,0.248,0.081575,6.066,3,2,5,0
Somalia,,Confirmed (per 100k),2.454,0.229,0.093407,5.134,3,2,5,1
Luxembourg,,Confirmed (per 100k),592.832,3.971,0.006698,101.040,4,0,4,-1
Iceland,,Confirmed (per 100k),524.553,1.256,0.002394,287.887,4,0,4,0
"Gibraltar, United Kingdom",,Confirmed (per 100k),403.669,1.696,0.004202,160.810,4,0,4,1
"Isle of Man, United Kingdom",,Confirmed (per 100k),362.212,1.848,0.005102,134.187,4,0,4,0
Switzerland,,Confirmed (per 100k),333.856,2.459,0.007367,91.801,4,0,4,0
Italy,,Confirmed (per 100k),323.098,4.590,0.014206,46.388,4,0,4,0
"Channel Islands, United Kingdom",,Confirmed (per 100k),301.962,3.369,0.011156,59.483,4,0,4,-1
France,,Confirmed (per 100k),245.570,2.697,0.010983,61.603,4,0,4,0
Netherlands,,Confirmed (per 100k),217.043,4.670,0.021515,29.909,4,0,4,-1
Germany,,Confirmed (per 100k),186.805,2.246,0.012022,55.218,4,0,4,0
Israel,,Confirmed (per 100k),176.742,3.355,0.018985,34.021,4,0,4,0
"Sint Maarten, Netherlands",,Confirmed (per 100k),170.258,2.999,0.017613,37.467,4,0,4,-1
Denmark,,Confirmed (per 100k),145.799,2.967,0.020350,31.477,4,0,4,0
Norway,,Confirmed (per 100k),138.326,1.220,0.008820,76.193,4,0,4,0
Panama,,Confirmed (per 100k),128.350,4.397,0.034257,17.534,4,0,4,0
Turkey,,Confirmed (per 100k),127.785,4.310,0.033727,18.340,4,0,4,0
Estonia,,Confirmed (per 100k),123.253,1.325,0.010747,61.675,4,0,4,0
Canada,,Confirmed (per 100k),120.051,4.198,0.034972,17.525,4,0,4,0
"Cayman Islands, United Kingdom",,Confirmed (per 100k),106.509,1.956,0.018367,35.465,4,0,4,0
Iran,,Confirmed (per 100k),106.352,1.439,0.013530,48.899,4,0,4,0
"Ontario, Canada",,Confirmed (per 100k),102.040,3.883,0.038055,15.890,4,0,4,-1
Djibouti,,Confirmed (per 100k),102.024,3.991,0.039116,16.236,4,0,4,-2
Moldova,,Confirmed (per 100k),81.905,3.279,0.040038,14.436,4,0,4,0
Finland,,Confirmed (per 100k),80.766,2.047,0.025347,24.923,4,0,4,0
Chile,,Confirmed (per 100k),67.262,2.338,0.034753,17.312,4,0,4,0
North Macedonia,,Confirmed (per 100k),65.615,1.351,0.020587,31.020,4,0,4,0
Armenia,,Confirmed (per 100k),56.593,2.068,0.036545,16.293,4,0,4,0
Romania,,Confirmed (per 100k),55.282,1.646,0.029780,20.844,4,0,4,0
Dominican Republic,,Confirmed (per 100k),54.628,2.095,0.038354,15.860,4,0,4,-1
Global,,Confirmed (per 100k),37.255,1.064,0.028554,21.755,4,0,4,0
"British Virgin Islands, United Kingdom",,Confirmed (per 100k),19.847,0.945,0.047619,11.780,3,1,4,1
Bahamas,,Confirmed (per 100k),19.835,0.836,0.042125,13.755,3,1,4,1
Ukraine,,Confirmed (per 100k),18.578,0.986,0.053081,10.399,3,1,4,0
Bulgaria,,Confirmed (per 100k),17.946,0.759,0.042273,13.551,3,1,4,1
Cabo Verde,,Confirmed (per 100k),16.187,0.822,0.050794,11.108,3,1,4,0
South Korea,,Confirmed (per 100k),14.586,0.876,0.060043,9.644,3,1,4,-2
Kazakhstan,,Confirmed (per 100k),13.852,0.750,0.054155,10.215,3,1,4,0
Morocco,,Confirmed (per 100k),10.558,0.469,0.044430,13.250,3,1,4,0
Jamaica,,Confirmed (per 100k),10.300,0.685,0.066511,7.956,3,1,4,0
Colombia,,Confirmed (per 100k),10.106,0.478,0.047313,12.210,3,1,4,1
Gabon,,Confirmed (per 100k),7.908,0.436,0.055195,10.516,3,1,4,0
Guinea,,Confirmed (per 100k),7.584,0.520,0.068560,7.569,3,1,4,-1
Bolivia,,Confirmed (per 100k),7.419,0.456,0.061531,8.321,3,1,4,0
South Africa,,Confirmed (per 100k),7.353,0.320,0.043470,13.279,3,1,4,0
Pakistan,,Confirmed (per 100k),5.760,0.329,0.057096,9.494,3,1,4,0
Cameroon,,Confirmed (per 100k),5.718,0.270,0.047149,11.808,3,1,4,2
Ghana,,Confirmed (per 100k),4.116,0.205,0.049704,12.099,3,1,4,0
Senegal,,Confirmed (per 100k),3.667,0.225,0.061424,8.145,3,1,4,1
Guatemala,,Confirmed (per 100k),2.640,0.190,0.071882,6.762,2,2,4,0
Sierra Leone,,Confirmed (per 100k),1.028,0.093125,0.090592,5.204,2,2,4,0
"Faroe Islands, Denmark",,Confirmed (per 100k),382.703,0.877,0.002292,300.248,3,0,3,0
Austria,,Confirmed (per 100k),168.192,0.757,0.004498,151.598,3,0,3,0
Malta,,Confirmed (per 100k),101.462,0.712,0.007015,96.851,3,0,3,-1
"St Martin, France",,Confirmed (per 100k),98.278,0.369,0.003759,181.951,3,0,3,-1
"Aruba, Netherlands",,Confirmed (per 100k),93.663,0.535,0.005714,119.394,3,0,3,0
Czechia,,Confirmed (per 100k),68.653,0.995,0.014496,45.760,3,0,3,-1
Cyprus,,Confirmed (per 100k),67.089,0.580,0.008642,77.766,3,0,3,0
Slovenia,,Confirmed (per 100k),66.765,0.488,0.007308,92.291,3,0,3,0
Lithuania,,Confirmed (per 100k),52.382,0.981,0.018734,35.155,3,0,3,-1
Montenegro,,Confirmed (per 100k),50.950,0.296,0.005804,117.115,3,0,3,0
Croatia,,Confirmed (per 100k),49.108,0.640,0.013039,50.946,3,0,3,0
"Martinique, France",,Confirmed (per 100k),46.634,0.647,0.013878,47.031,3,0,3,0
Bosnia and Herzegovina,,Confirmed (per 100k),45.294,0.949,0.020958,30.252,3,0,3,-1
Latvia,,Confirmed (per 100k),42.625,0.697,0.016347,39.893,3,0,3,0
"Tasmania, Australia",,Confirmed (per 100k),38.655,0.720,0.018634,34.079,3,0,3,-1
"British Columbia, Canada",,Confirmed (per 100k),38.114,0.922,0.024201,25.777,3,0,3,0
"French Guiana, France",,Confirmed (per 100k),37.163,0.717,0.019305,32.738,3,0,3,-1
Poland,,Confirmed (per 100k),29.786,0.955,0.032074,19.255,3,0,3,0
"Saskatchewan, Canada",,Confirmed (per 100k),29.535,0.435,0.014736,43.898,3,0,3,0
Hungary,,Confirmed (per 100k),25.289,0.901,0.035612,17.106,3,0,3,-1
Slovakia,,Confirmed (per 100k),25.148,0.743,0.029549,21.215,3,0,3,0
Albania,,Confirmed (per 100k),24.741,0.814,0.032905,18.425,3,0,3,0
Greece,,Confirmed (per 100k),24.043,0.371,0.015449,42.489,3,0,3,0
Uruguay,,Confirmed (per 100k),17.157,0.362,0.021093,29.946,3,0,3,0
Grenada,,Confirmed (per 100k),15.997,0.508,0.031746,17.846,3,0,3,1
Azerbaijan,,Confirmed (per 100k),15.948,0.344,0.021557,29.733,3,0,3,0
Saint Vincent and the Grenadines,,Confirmed (per 100k),12.619,0.258,0.020408,30.844,3,0,3,1
Cuba,,Confirmed (per 100k),11.804,0.443,0.037504,16.051,3,0,3,-1
