location,metric,value,change (avg),growth rate,doubling time (days),severity (change),severity (growth),severity,severity (trend)
New Zealand,Deaths (per 100k),0.19,0.02,0.13,1.88,1,5,6,2
Belgium,Deaths (per 100k),38.31,2.62,0.07,7.09,4,1,5,-1
France,Deaths (per 100k),26.30,1.18,0.04,11.87,4,1,5,0
United Kingdom,Deaths (per 100k),18.96,1.25,0.07,7.57,4,1,5,-1
"Bermuda, United Kingdom",Deaths (per 100k),8.03,0.69,0.09,6.35,3,2,5,-1
"Quebec, Canada",Deaths (per 100k),5.70,0.48,0.08,4.62,3,2,5,-1
Malta,Deaths (per 100k),0.68,0.10,0.14,3.57,2,3,5,-1
Martinique,Deaths (per 100k),0.27,0.04,0.14,2.41,1,4,5,-1
Djibouti,Deaths (per 100k),0.20,0.03,0.14,2.76,1,4,5,-1
Andorra,Deaths (per 100k),42.71,1.66,0.04,14.21,4,0,4,-1
Spain,Deaths (per 100k),40.01,1.23,0.03,19.69,4,0,4,0
"Sint Maarten, Netherlands",Deaths (per 100k),20.99,1.00,0.05,12.59,3,1,4,-2
Switzerland,Deaths (per 100k),14.32,0.58,0.04,13.98,3,1,4,0
Sweden,Deaths (per 100k),11.91,0.63,0.05,9.20,3,1,4,-1
Luxembourg,Deaths (per 100k),11.02,0.57,0.05,11.24,3,1,4,0
Ireland,Deaths (per 100k),8.99,0.57,0.06,7.46,3,1,4,-1
"Channel Islands, United Kingdom",Deaths (per 100k),8.63,0.49,0.06,7.16,3,1,4,2
US,Deaths (per 100k),8.56,0.57,0.07,7.13,3,1,4,-1
Portugal,Deaths (per 100k),5.87,0.31,0.05,9.95,3,1,4,0
Denmark,Deaths (per 100k),5.33,0.24,0.04,12.78,3,1,4,0
Germany,Deaths (per 100k),4.54,0.22,0.05,10.50,3,1,4,0
Austria,Deaths (per 100k),4.36,0.22,0.05,11.08,3,1,4,0
Canada,Deaths (per 100k),2.66,0.20,0.07,5.61,2,2,4,0
"Ontario, Canada",Deaths (per 100k),2.62,0.18,0.07,6.26,2,2,4,1
Hungary,Deaths (per 100k),1.39,0.11,0.08,5.34,2,2,4,0
"Tasmania, Australia",Deaths (per 100k),1.12,0.11,0.10,4.84,2,2,4,0
Brazil,Deaths (per 100k),0.82,0.06,0.07,6.23,2,2,4,1
Peru,Deaths (per 100k),0.77,0.05,0.07,6.68,2,2,4,1
"Newfoundland and Labrador, Canada",Deaths (per 100k),0.58,0.05,0.10,5.88,2,2,4,0
Somalia,Deaths (per 100k),0.03,0.00,0.06,2.76,0,4,4,1
San Marino,Deaths (per 100k),106.10,0.84,0.01,83.87,3,0,3,-1
Italy,Deaths (per 100k),35.80,0.93,0.03,23.52,3,0,3,0
Netherlands,Deaths (per 100k),18.29,0.70,0.04,14.68,3,0,3,-1
"Isle of Man, United Kingdom",Deaths (per 100k),4.70,0.17,0.04,7.27,2,1,3,-1
Slovenia,Deaths (per 100k),2.93,0.14,0.05,11.50,2,1,3,0
Norway,Deaths (per 100k),2.77,0.13,0.05,11.32,2,1,3,0
Estonia,Deaths (per 100k),2.64,0.11,0.04,12.13,2,1,3,0
Panama,Deaths (per 100k),2.20,0.13,0.06,8.93,2,1,3,0
Ecuador,Deaths (per 100k),2.20,0.14,0.07,8.15,2,1,3,0
North Macedonia,Deaths (per 100k),2.16,0.12,0.06,8.93,2,1,3,0
Romania,Deaths (per 100k),1.93,0.11,0.06,8.77,2,1,3,-1
Turkey,Deaths (per 100k),1.80,0.11,0.06,7.54,2,1,3,-1
Dominican Republic,Deaths (per 100k),1.74,0.11,0.06,7.97,2,1,3,-1
Global,Deaths (per 100k),1.73,0.08,0.05,11.50,2,1,3,0
Czechia,Deaths (per 100k),1.55,0.10,0.06,8.20,2,1,3,0
Israel,Deaths (per 100k),1.50,0.10,0.06,7.98,2,1,3,0
"British Columbia, Canada",Deaths (per 100k),1.41,0.08,0.06,8.78,2,1,3,0
Finland,Deaths (per 100k),1.30,0.08,0.06,7.92,2,1,3,-1
Moldova,Deaths (per 100k),1.14,0.06,0.06,8.16,2,1,3,0
Serbia,Deaths (per 100k),1.13,0.05,0.05,10.89,2,1,3,1
Lithuania,Deaths (per 100k),1.10,0.07,0.07,7.17,2,1,3,1
"Mayotte, France",Deaths (per 100k),1.10,0.05,0.05,12.13,2,1,3,0
"Alberta, Canada",Deaths (per 100k),1.09,0.08,0.07,7.19,2,1,3,-1
Poland,Deaths (per 100k),0.76,0.05,0.07,7.21,2,1,3,-1
Montenegro,Deaths (per 100k),0.64,0.05,0.07,5.88,1,2,3,1
Chile,Deaths (per 100k),0.49,0.04,0.07,6.68,1,2,3,0
Belarus,Deaths (per 100k),0.38,0.03,0.08,5.16,1,2,3,0
United Arab Emirates,Deaths (per 100k),0.33,0.02,0.07,5.58,1,2,3,0
Mexico,Deaths (per 100k),0.31,0.02,0.07,5.15,1,2,3,0
"Nova Scotia, Canada",Deaths (per 100k),0.31,0.03,0.10,4.50,1,2,3,-2
Latvia,Deaths (per 100k),0.27,0.02,0.09,5.65,1,2,3,-2
