location,metric,value,change (avg),growth rate,doubling time (days),severity (change),severity (growth),severity,severity (trend)
"Ouray, Colorado",Deaths (per 100k),20.19,2.88,0.14,1.71,4,5,9,0
"Upson, Georgia",Deaths (per 100k),19.00,1.09,0.06,1.00,4,5,9,0
"Washington, North Carolina",Deaths (per 100k),17.27,2.47,0.14,1.36,4,5,9,0
"Hale, Texas",Deaths (per 100k),14.97,2.14,0.14,1.14,4,5,9,1
"Henrico, Virginia",Deaths (per 100k),12.70,1.73,0.14,1.25,4,5,9,9
"Alamosa, Colorado",Deaths (per 100k),12.32,1.76,0.14,1.71,4,5,9,0
"Jones, North Carolina",Deaths (per 100k),10.62,1.52,0.14,1.71,4,5,9,0
"Burke, Georgia",Deaths (per 100k),8.94,1.28,0.14,1.00,4,5,9,0
"Randolph, Georgia",Deaths (per 100k),88.52,12.65,0.14,3.45,5,3,8,-1
"Red River, Louisiana",Deaths (per 100k),23.69,3.38,0.14,2.76,4,4,8,1
"Jefferson Davis, Louisiana",Deaths (per 100k),22.32,2.73,0.12,2.76,4,4,8,-1
"Pointe Coupee, Louisiana",Deaths (per 100k),18.41,1.31,0.07,2.76,4,4,8,-1
"Tallapoosa, Alabama",Deaths (per 100k),17.34,1.42,0.08,2.93,4,4,8,1
"Van Buren, Arkansas",Deaths (per 100k),12.09,1.73,0.14,2.41,4,4,8,-1
"Lincoln, Mississippi",Deaths (per 100k),11.71,1.67,0.14,2.76,4,4,8,-1
"Wilkinson, Georgia",Deaths (per 100k),11.17,1.60,0.14,2.41,4,4,8,-1
"Johnson, Georgia",Deaths (per 100k),10.37,1.48,0.14,2.41,4,4,8,-1
"Wyandot, Ohio",Deaths (per 100k),9.19,1.31,0.14,2.41,4,4,8,-1
"Jerome, Idaho",Deaths (per 100k),8.19,1.17,0.14,2.41,4,4,8,-1
"Morehouse, Louisiana",Deaths (per 100k),8.04,1.15,0.14,2.41,4,4,8,-1
"Lamoille, Vermont",Deaths (per 100k),7.89,1.13,0.14,2.41,4,4,8,-1
"Jefferson, Arkansas",Deaths (per 100k),7.48,0.86,0.11,1.53,3,5,8,0
"Drew, Arkansas",Deaths (per 100k),5.49,0.78,0.14,1.71,3,5,8,0
"Monroe, Michigan",Deaths (per 100k),5.32,0.66,0.13,1.91,3,5,8,0
"Sumner, Kansas",Deaths (per 100k),4.38,0.63,0.14,1.71,3,5,8,0
"Wayne, Ohio",Deaths (per 100k),4.32,0.62,0.14,1.71,3,5,8,0
"Allen, Ohio",Deaths (per 100k),3.91,0.56,0.14,1.53,3,5,8,3
"Clinton, New York",Deaths (per 100k),3.73,0.53,0.14,1.24,3,5,8,0
"Union, Mississippi",Deaths (per 100k),3.47,0.50,0.14,1.71,3,5,8,0
"Palo Pinto, Texas",Deaths (per 100k),3.43,0.49,0.14,1.71,3,5,8,0
"Wexford, Michigan",Deaths (per 100k),2.97,0.42,0.14,1.71,3,5,8,0
"Nicollet, Minnesota",Deaths (per 100k),2.92,0.42,0.14,1.71,3,5,8,0
"Cowley, Kansas",Deaths (per 100k),2.86,0.41,0.14,1.71,3,5,8,0
"Howard, Texas",Deaths (per 100k),2.73,0.39,0.14,1.71,3,5,8,0
"Champaign, Ohio",Deaths (per 100k),2.57,0.37,0.14,1.71,3,5,8,0
"Tioga, Pennsylvania",Deaths (per 100k),2.46,0.35,0.14,1.71,3,5,8,0
"Richmond, North Carolina",Deaths (per 100k),2.23,0.32,0.14,1.71,3,5,8,0
"Habersham, Georgia",Deaths (per 100k),2.21,0.32,0.14,1.71,3,5,8,0
"Auglaize, Ohio",Deaths (per 100k),2.19,0.31,0.14,1.71,3,5,8,0
"Bedford, Pennsylvania",Deaths (per 100k),2.09,0.30,0.14,1.71,3,5,8,0
"Armstrong, Pennsylvania",Deaths (per 100k),1.54,0.22,0.14,1.71,3,5,8,0
"Lebanon, Pennsylvania",Deaths (per 100k),1.41,0.20,0.14,1.36,3,5,8,1
"Terrell, Georgia",Deaths (per 100k),128.94,11.72,0.09,6.28,5,2,7,0
"Dougherty, Georgia",Deaths (per 100k),88.68,7.47,0.08,6.58,5,2,7,0
"Mitchell, Georgia",Deaths (per 100k),86.90,9.15,0.11,4.20,5,2,7,-1
"Nassau, New York",Deaths (per 100k),73.77,7.87,0.11,4.19,5,2,7,-1
"Westchester, New York",Deaths (per 100k),61.60,5.11,0.08,5.20,5,2,7,-1
"Early, Georgia",Deaths (per 100k),58.88,7.01,0.12,4.91,5,2,7,-1
"Warren, New Jersey",Deaths (per 100k),23.75,2.31,0.10,3.88,4,3,7,0
"East Feliciana, Louisiana",Deaths (per 100k),20.90,1.49,0.07,3.45,4,3,7,-1
"St. Landry, Louisiana",Deaths (per 100k),19.48,1.57,0.08,3.88,4,3,7,-1
"Wyandotte, Kansas",Deaths (per 100k),18.13,1.90,0.10,3.42,4,3,7,0
"Gunnison, Colorado",Deaths (per 100k),17.18,1.64,0.10,3.45,4,3,7,7
"Hartford, Connecticut",Deaths (per 100k),17.16,1.63,0.10,3.78,4,3,7,0
"Pearl River, Mississippi",Deaths (per 100k),14.41,1.54,0.11,3.69,4,3,7,-1
"Philadelphia, Pennsylvania",Deaths (per 100k),13.00,1.31,0.10,3.72,4,3,7,-1
"McCormick, South Carolina",Deaths (per 100k),10.57,1.51,0.14,3.11,4,3,7,-2
"Pierce, Georgia",Deaths (per 100k),10.27,1.47,0.14,3.45,4,3,7,-1
"Franklin, Louisiana",Deaths (per 100k),9.99,0.71,0.07,2.41,3,4,7,-1
"Hunterdon, New Jersey",Deaths (per 100k),8.84,1.03,0.12,3.34,4,3,7,-2
"Macon, Tennessee",Deaths (per 100k),8.13,1.16,0.14,3.45,4,3,7,-1
"Dawson, Texas",Deaths (per 100k),7.86,1.12,0.14,3.11,4,3,7,-2
"Dawson, Georgia",Deaths (per 100k),7.66,1.09,0.14,3.11,4,3,7,-2
"Charles, Maryland",Deaths (per 100k),7.35,0.70,0.10,2.67,3,4,7,1
"Jackson, Illinois",Deaths (per 100k),7.05,0.76,0.11,2.41,3,4,7,2
"Sussex, Delaware",Deaths (per 100k),6.83,0.73,0.11,2.35,3,4,7,1
"Shelby, Indiana",Deaths (per 100k),6.71,0.96,0.14,2.41,3,4,7,0
"Jefferson, Georgia",Deaths (per 100k),6.51,0.93,0.14,2.41,3,4,7,-1
"Stark, North Dakota",Deaths (per 100k),6.35,0.91,0.14,2.76,3,4,7,-1
"Smith, Mississippi",Deaths (per 100k),6.28,0.90,0.14,2.41,3,4,7,-1
