location,fips,metric,value,change (avg),growth rate,doubling time (days),severity (change),severity (growth),severity,severity (trend)
"Isle of Man, United Kingdom",,Deaths (per 100k),18.816,2.016,0.107,4.033,4,2,6,-2
Equatorial Guinea,,Deaths (per 100k),0.071277,0.010182,0.143,1.710,1,5,6,0
Finland,,Deaths (per 100k),3.104,0.232,0.074751,6.525,3,2,5,2
"Nova Scotia, Canada",,Deaths (per 100k),1.637,0.175,0.107,3.976,2,3,5,1
Belgium,,Deaths (per 100k),55.998,1.636,0.029210,21.577,4,0,4,0
Sweden,,Deaths (per 100k),20.011,0.878,0.043896,13.369,3,1,4,-1
"Channel Islands, United Kingdom",,Deaths (per 100k),16.680,0.739,0.044335,13.128,3,1,4,-1
Ireland,,Deaths (per 100k),16.080,0.764,0.047499,12.594,3,1,4,0
"Quebec, Canada",,Deaths (per 100k),14.559,0.929,0.063786,8.394,3,1,4,-2
Canada,,Deaths (per 100k),5.914,0.334,0.056480,9.815,3,1,4,-1
"Ontario, Canada",,Deaths (per 100k),5.479,0.274,0.049982,11.456,3,1,4,0
"Martinique, France",,Deaths (per 100k),3.731,0.228,0.061224,9.816,3,1,4,0
Mexico,,Deaths (per 100k),0.829,0.064596,0.077910,6.040,2,2,4,2
"French Guiana, France",,Deaths (per 100k),0.335,0.047829,0.143,3.106,1,3,4,-2
Martinique,,Deaths (per 100k),0.266,0.038068,0.143,3.106,1,3,4,-2
San Marino,,Deaths (per 100k),117.886,0.421,0.003571,191.655,3,0,3,-1
Andorra,,Deaths (per 100k),47.887,0.370,0.007722,88.376,3,0,3,0
Spain,,Deaths (per 100k),47.390,0.658,0.013894,47.327,3,0,3,0
Italy,,Deaths (per 100k),42.256,0.663,0.015679,42.015,3,0,3,0
France,,Deaths (per 100k),33.484,0.695,0.020753,31.229,3,0,3,0
"Sint Maarten, Netherlands",,Deaths (per 100k),27.988,1.000,0.035714,16.518,3,0,3,0
United Kingdom,,Deaths (per 100k),27.602,0.876,0.031731,19.688,3,0,3,-1
Netherlands,,Deaths (per 100k),24.377,0.599,0.024556,25.946,3,0,3,0
Switzerland,,Deaths (per 100k),17.898,0.366,0.020474,31.609,3,0,3,0
US,,Deaths (per 100k),15.092,0.569,0.037695,15.899,3,0,3,-1
Luxembourg,,Deaths (per 100k),13.259,0.251,0.018933,33.742,3,0,3,0
Monaco,,Deaths (per 100k),10.193,0.364,0.035714,14.900,3,0,3,3
Portugal,,Deaths (per 100k),8.042,0.228,0.028397,22.139,3,0,3,0
Germany,,Deaths (per 100k),6.654,0.209,0.031339,19.529,3,0,3,0
"Guadeloupe, France",,Deaths (per 100k),2.999,0.143,0.047619,12.127,2,1,3,0
Hungary,,Deaths (per 100k),2.474,0.123,0.049611,11.859,2,1,3,0
Moldova,,Deaths (per 100k),1.983,0.084993,0.042857,13.976,2,1,3,1
Peru,,Deaths (per 100k),1.735,0.118,0.067932,8.081,2,1,3,-1
Brazil,,Deaths (per 100k),1.567,0.079978,0.051036,10.884,2,1,3,0
Latvia,,Deaths (per 100k),0.583,0.045443,0.077922,6.232,1,2,3,0
Kuwait,,Deaths (per 100k),0.328,0.030106,0.091837,5.268,1,2,3,-1
Somalia,,Deaths (per 100k),0.101,0.008989,0.089286,3.941,0,3,3,2
Denmark,,Deaths (per 100k),6.802,0.143,0.021030,30.688,2,0,2,0
Iran,,Deaths (per 100k),6.526,0.088953,0.013632,48.581,2,0,2,0
Austria,,Deaths (per 100k),5.796,0.144,0.024904,25.534,2,0,2,0
Slovenia,,Deaths (per 100k),3.800,0.089331,0.023508,28.178,2,0,2,0
Norway,,Deaths (per 100k),3.579,0.086960,0.024300,26.118,2,0,2,0
Estonia,,Deaths (per 100k),3.392,0.075384,0.022222,28.764,2,0,2,0
Panama,,Deaths (per 100k),3.384,0.123,0.036204,16.998,2,0,2,-1
Ecuador,,Deaths (per 100k),3.174,0.113,0.035459,17.558,2,0,2,0
Turkey,,Deaths (per 100k),2.954,0.122,0.041406,14.578,2,0,2,-1
Romania,,Deaths (per 100k),2.833,0.099507,0.035125,17.451,2,0,2,0
Bahamas,,Deaths (per 100k),2.797,0.072656,0.025974,22.179,2,0,2,1
Global,,Deaths (per 100k),2.455,0.068045,0.027721,22.635,2,0,2,0
Dominican Republic,,Deaths (per 100k),2.443,0.085599,0.035040,17.865,2,0,2,0
Israel,,Deaths (per 100k),2.218,0.067669,0.030506,21.071,2,0,2,-1
"Alberta, Canada",,Deaths (per 100k),1.541,0.058267,0.037815,15.901,2,0,2,0
Chile,,Deaths (per 100k),0.879,0.038860,0.044218,13.420,1,1,2,0
United Arab Emirates,,Deaths (per 100k),0.566,0.027444,0.048469,11.579,1,1,2,0
Ukraine,,Deaths (per 100k),0.428,0.020252,0.047364,12.183,1,1,2,0
Russia,,Deaths (per 100k),0.380,0.027605,0.072587,7.307,1,1,2,-1
Bolivia,,Deaths (per 100k),0.368,0.014686,0.039867,13.918,1,1,2,2
New Zealand,,Deaths (per 100k),0.353,0.017775,0.050420,10.393,1,1,2,0
China,,Deaths (per 100k),0.322,0.012893,0.040028,12.808,1,1,2,2
Slovakia,,Deaths (per 100k),0.275,0.015700,0.057143,10.393,1,1,2,-1
Japan,,Deaths (per 100k),0.259,0.015587,0.060105,8.926,1,1,2,0
Cameroon,,Deaths (per 100k),0.162,0.011301,0.069767,8.825,1,1,2,-1
Gabon,,Deaths (per 100k),0.089858,0.006418,0.071429,5.191,0,2,2,2
Cote d'Ivoire,,Deaths (per 100k),0.053074,0.004333,0.081633,6.666,0,2,2,0
Nicaragua,,Deaths (per 100k),0.045286,0.004313,0.095238,4.844,0,2,2,1
Sudan,,Deaths (per 100k),0.036489,0.003258,0.089286,5.607,0,2,2,0
Senegal,,Deaths (per 100k),0.035834,0.003413,0.095238,5.538,0,2,2,0
Libya,,Deaths (per 100k),0.029107,0.002079,0.071429,5.191,0,2,2,2
Iceland,,Deaths (per 100k),2.930,0.041864,0.014286,46.787,1,0,1,-1
North Macedonia,,Deaths (per 100k),2.688,0.047999,0.017857,36.983,1,0,1,-1
Barbados,,Deaths (per 100k),2.088,0.049711,0.023810,24.605,1,0,1,1
Czechia,,Deaths (per 100k),1.961,0.049358,0.025170,25.654,1,0,1,-1
"British Columbia, Canada",,Deaths (per 100k),1.839,0.047517,0.025836,24.197,1,0,1,-1
Bosnia and Herzegovina,,Deaths (per 100k),1.646,0.034835,0.021164,30.411,1,0,1,-1
"Tasmania, Australia",,Deaths (per 100k),1.494,0.026677,0.017857,34.310,1,0,1,0
Lithuania,,Deaths (per 100k),1.469,0.036734,0.025000,25.298,1,0,1,0
Serbia,,Deaths (per 100k),1.431,0.024525,0.017143,39.578,1,0,1,0
Croatia,,Deaths (per 100k),1.218,0.048718,0.040000,15.841,1,0,1,-2
Poland,,Deaths (per 100k),1.200,0.046051,0.038389,15.525,1,0,1,-2
Greece,,Deaths (per 100k),1.199,0.023300,0.019429,33.372,1,0,1,0
Cyprus,,Deaths (per 100k),1.077,0.011832,0.010989,59.957,1,0,1,0
Algeria,,Deaths (per 100k),0.928,0.014008,0.015093,43.643,1,0,1,0
Armenia,,Deaths (per 100k),0.810,0.024105,0.029762,21.555,1,0,1,0
Bulgaria,,Deaths (per 100k),0.748,0.022616,0.030220,19.879,1,0,1,0
Belarus,,Deaths (per 100k),0.635,0.027213,0.042857,14.053,1,0,1,-1
"Manitoba, Canada",,Deaths (per 100k),0.436,0.010371,0.023810,27.378,1,0,1,0
Colombia,,Deaths (per 100k),0.423,0.017407,0.041196,14.676,1,0,1,-1
Cuba,,Deaths (per 100k),0.380,0.015135,0.039867,14.842,1,0,1,-1
Argentina,,Deaths (per 100k),0.365,0.013276,0.036364,16.369,1,0,1,0
Saudi Arabia,,Deaths (per 100k),0.348,0.013952,0.040142,14.941,1,0,1,-1
Qatar,,Deaths (per 100k),0.347,0.014876,0.042857,14.438,1,0,1,-1
Uruguay,,Deaths (per 100k),0.345,0.012337,0.035714,17.211,1,0,1,-1
Egypt,,Deaths (per 100k),0.280,0.011447,0.040816,15.001,1,0,1,-1
Oman,,Deaths (per 100k),0.176,0.008392,0.047619,11.896,0,1,1,-1
South Africa,,Deaths (per 100k),0.126,0.006022,0.047619,11.489,0,1,1,1
Kyrgyzstan,,Deaths (per 100k),0.123,0.006569,0.053571,10.278,0,1,1,1
Costa Rica,,Deaths (per 100k),0.118,0.005609,0.047619,13.167,0,1,1,0
Pakistan,,Deaths (per 100k),0.107,0.006597,0.061483,8.816,0,1,1,0
Mali,,Deaths (per 100k),0.104,0.005644,0.054422,9.180,0,1,1,1
South Korea,,Deaths (per 100k),0.103,0.006966,0.067385,7.605,0,1,1,-1
Bangladesh,,Deaths (per 100k),0.077115,0.004511,0.058493,9.687,0,1,1,-1
Guatemala,,Deaths (per 100k),0.061399,0.003190,0.051948,9.180,0,1,1,0
India,,Deaths (per 100k),0.052246,0.002433,0.046562,12.628,0,1,1,0
Georgia,,Deaths (per 100k),0.047092,0.002691,0.057143,10.393,0,1,1,0
Guinea,,Deaths (per 100k),0.045687,0.003263,0.071429,8.197,0,1,1,-2
Haiti,,Deaths (per 100k),0.043850,0.002506,0.057143,8.313,0,1,1,1
Hong Kong,,Deaths (per 100k),0.040898,0.001948,0.047619,10.740,0,1,1,1
Uzbekistan,,Deaths (per 100k),0.020915,0.001280,0.061224,9.353,0,1,1,0
Tanzania,,Deaths (per 100k),0.016741,0.001196,0.071429,8.244,0,1,1,-1
Malawi,,Deaths (per 100k),0.015682,0.000747,0.047619,11.433,0,1,1,0
Nigeria,,Deaths (per 100k),0.015038,0.000970,0.064516,8.115,0,1,1,-1
Albania,,Deaths (per 100k),0.938,0.004964,0.005291,127.885,0,0,0,0
Honduras,,Deaths (per 100k),0.475,0.008654,0.018237,36.967,0,0,0,-2
Bahrain,,Deaths (per 100k),0.470,0.008396,0.017857,34.310,0,0,0,0
"Korea, South",,Deaths (per 100k),0.468,0.002786,0.005952,114.369,0,0,0,0
Philippines,,Deaths (per 100k),0.422,0.009777,0.023191,27.609,0,0,0,-1
Morocco,,Deaths (per 100k),0.420,0.007741,0.018433,34.968,0,0,0,0
"New South Wales, Australia",,Deaths (per 100k),0.382,0.008799,0.023041,25.576,0,0,0,0
Lebanon,,Deaths (per 100k),0.322,0.002093,0.006494,103.625,0,0,0,0
Australia,,Deaths (per 100k),0.294,0.005042,0.017143,36.389,0,0,0,0
Malaysia,,Deaths (per 100k),0.294,0.003972,0.013534,48.866,0,0,0,0
"Victoria, Australia",,Deaths (per 100k),0.241,0.004309,0.017857,34.310,0,0,0,0
Indonesia,,Deaths (per 100k),0.237,0.006633,0.028042,22.793,0,0,0,0
Iraq,,Deaths (per 100k),0.206,0.000710,0.003442,199.973,0,0,0,0
Singapore,,Deaths (per 100k),0.205,0.002442,0.011905,55.104,0,0,0,0
Jamaica,,Deaths (per 100k),0.203,0.004824,0.023810,26.685,0,0,0,0
Azerbaijan,,Deaths (per 100k),0.197,0.007045,0.035714,18.505,0,0,0,-1
Burkina Faso,,Deaths (per 100k),0.196,0.004101,0.020906,30.497,0,0,0,0
Paraguay,,Deaths (per 100k),0.126,0.002003,0.015873,40.548,0,0,0,0
El Salvador,,Deaths (per 100k),0.123,0.002202,0.017857,34.310,0,0,0,0
Afghanistan,,Deaths (per 100k),0.108,0.004404,0.040816,14.496,0,0,0,-1
Kazakhstan,,Deaths (per 100k),0.107,0.002282,0.021429,29.688,0,0,0,0
Niger,,Deaths (per 100k),0.099146,0.003541,0.035714,16.633,0,0,0,-1
Togo,,Deaths (per 100k),0.072475,0.001726,0.023810,27.378,0,0,0,-1
Thailand,,Deaths (per 100k),0.071633,0.000614,0.008571,77.516,0,0,0,0
Venezuela,,Deaths (per 100k),0.035167,0.000502,0.014286,46.093,0,0,0,0
Zimbabwe,,Deaths (per 100k),0.026913,0.000961,0.035714,16.287,0,0,0,0
