location,metric,value,change (avg),growth rate,doubling time (days),severity (change),severity (growth),severity,severity (trend)
New York,Deaths (per 100k),90.837,6.803,0.074893,5.819,5,2,7,2
Connecticut,Deaths (per 100k),30.460,2.356,0.077348,5.772,4,2,6,0
Massachusetts,Deaths (per 100k),20.370,1.339,0.065731,6.720,4,2,6,0
Rhode Island,Deaths (per 100k),12.932,1.011,0.078206,4.700,4,2,6,2
New Jersey,Deaths (per 100k),45.822,3.069,0.066971,7.021,4,1,5,-1
Louisiana,Deaths (per 100k),27.254,1.407,0.051641,10.266,4,1,5,0
Michigan,Deaths (per 100k),23.110,1.360,0.058864,8.670,4,1,5,0
District of Columbia,Deaths (per 100k),12.894,0.972,0.075353,6.217,3,2,5,0
Pennsylvania,Deaths (per 100k),8.139,0.561,0.068961,6.373,3,2,5,0
West Virginia,Deaths (per 100k),0.893,0.087684,0.098214,3.802,2,3,5,2
Wyoming,Deaths (per 100k),0.346,0.049367,0.143,2.060,1,4,5,-1
Illinois,Deaths (per 100k),9.935,0.603,0.060706,7.702,3,1,4,-1
Indiana,Deaths (per 100k),8.095,0.471,0.058191,8.532,3,1,4,-1
Maryland,Deaths (per 100k),6.964,0.385,0.055310,8.026,3,1,4,-1
Delaware,Deaths (per 100k),6.881,0.425,0.061834,7.153,3,1,4,-1
Colorado,Deaths (per 100k),6.755,0.362,0.053617,10.222,3,1,4,0
Georgia,Deaths (per 100k),6.339,0.315,0.049671,10.435,3,1,4,0
Vermont,Deaths (per 100k),6.090,0.252,0.041353,12.631,3,1,4,2
Mississippi,Deaths (per 100k),5.107,0.278,0.054511,9.078,3,1,4,0
Nevada,Deaths (per 100k),4.902,0.241,0.049196,11.167,3,1,4,0
Ohio,Deaths (per 100k),3.858,0.229,0.059233,8.118,3,1,4,0
Florida,Deaths (per 100k),3.483,0.223,0.063980,7.838,3,1,4,1
New Mexico,Deaths (per 100k),2.528,0.184,0.072776,5.242,2,2,4,0
Iowa,Deaths (per 100k),2.345,0.149,0.063707,6.831,2,2,4,1
Minnesota,Deaths (per 100k),2.146,0.137,0.063754,6.939,2,2,4,1
North Carolina,Deaths (per 100k),1.783,0.128,0.071811,5.848,2,2,4,0
Washington,Deaths (per 100k),8.050,0.225,0.027966,21.474,3,0,3,0
Wisconsin,Deaths (per 100k),3.641,0.191,0.052561,10.233,2,1,3,-1
Oklahoma,Deaths (per 100k),3.437,0.173,0.050420,11.015,2,1,3,0
Kentucky,Deaths (per 100k),3.223,0.150,0.046627,11.360,2,1,3,0
Missouri,Deaths (per 100k),3.210,0.198,0.061639,7.901,2,1,3,0
Alabama,Deaths (per 100k),3.120,0.198,0.063492,7.772,2,1,3,0
Virginia,Deaths (per 100k),3.023,0.184,0.060908,7.260,2,1,3,-2
Kansas,Deaths (per 100k),2.918,0.196,0.067227,7.879,2,1,3,0
California,Deaths (per 100k),2.885,0.164,0.056892,8.165,2,1,3,0
New Hampshire,Deaths (per 100k),2.795,0.168,0.060150,8.053,2,1,3,-1
Arizona,Deaths (per 100k),2.473,0.141,0.057143,8.669,2,1,3,0
Idaho,Deaths (per 100k),2.406,0.136,0.056478,9.149,2,1,3,-1
Maine,Deaths (per 100k),2.381,0.128,0.053571,8.718,2,1,3,0
South Carolina,Deaths (per 100k),2.311,0.122,0.052821,10.267,2,1,3,0
Tennessee,Deaths (per 100k),2.079,0.089950,0.043260,13.288,2,1,3,0
Puerto Rico,Deaths (per 100k),1.879,0.084989,0.045238,12.090,2,1,3,0
Oregon,Deaths (per 100k),1.707,0.088063,0.051587,10.313,2,1,3,0
Texas,Deaths (per 100k),1.642,0.105,0.063926,7.575,2,1,3,0
Arkansas,Deaths (per 100k),1.259,0.075741,0.060150,9.180,2,1,3,0
Nebraska,Deaths (per 100k),1.241,0.066466,0.053571,10.124,2,1,3,0
North Dakota,Deaths (per 100k),1.181,0.056238,0.047619,12.820,2,1,3,-1
Alaska,Deaths (per 100k),1.230,0.039056,0.031746,20.446,1,0,1,0
Montana,Deaths (per 100k),0.936,0.026733,0.028571,16.287,1,0,1,0
South Dakota,Deaths (per 100k),0.791,0.016148,0.020408,30.151,1,0,1,1
Utah,Deaths (per 100k),0.780,0.026736,0.034286,15.247,1,0,1,-1
