FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
,,Perm Krai,Russia,2021-10-18 04:21:10,58.5951603,56.3159546,110763,5356,,,"Perm Krai, Russia",4222.563799930007,4.835549777452759
,,Primorsky Krai,Russia,2021-10-18 04:21:10,45.0819456,134.726645,72639,1212,,,"Primorsky Krai, Russia",3797.051494560743,1.6685251724280346
,,Pskov Oblast,Russia,2021-10-18 04:21:10,57.535872899999994,28.8586826,53905,852,,,"Pskov Oblast, Russia",8468.358924571045,1.5805583897597626
,,Rostov Oblast,Russia,2021-10-18 04:21:10,47.6222451,40.7957942,147648,7303,,,"Rostov Oblast, Russia",3498.3930631126714,4.946223450368444
,,Ryazan Oblast,Russia,2021-10-18 04:21:10,54.42267320000001,40.57052460000001,44992,1261,,,"Ryazan Oblast, Russia",4011.862958927269,2.8027204836415365
,,Saint Petersburg,Russia,2021-10-18 04:21:10,59.960673899999996,30.158655100000004,663639,22897,,,"Saint Petersburg, Russia",12399.982436259035,3.4502191703622
,,Sakha (Yakutiya) Republic,Russia,2021-10-18 04:21:10,66.941626,129.642371,58182,1339,,,"Sakha (Yakutiya) Republic, Russia",6033.4117988655335,2.3013990581279433
,,Sakhalin Oblast,Russia,2021-10-18 04:21:10,49.7219665,143.448533,33958,335,,,"Sakhalin Oblast, Russia",6927.645094363103,0.986512751045409
,,Samara Oblast,Russia,2021-10-18 04:21:10,53.2128813,50.8914633,117079,4276,,,"Samara Oblast, Russia",3666.1495769237267,3.6522348158081295
,,Saratov Oblast,Russia,2021-10-18 04:21:10,51.652055499999996,46.86319520000001,94768,3484,,,"Saratov Oblast, Russia",3847.743559552569,3.676346446057741
,,Smolensk Oblast,Russia,2021-10-18 04:21:10,55.03434960000001,33.0192065,54488,1833,,,"Smolensk Oblast, Russia",5739.5180692433105,3.364043459110263
,,Stavropol Krai,Russia,2021-10-18 04:21:10,44.86325770000001,43.4406913,92040,3552,,,"Stavropol Krai, Russia",3286.351785320248,3.8591916558018253
,,Sverdlovsk Oblast,Russia,2021-10-18 04:21:10,58.6414755,61.802154599999994,148312,7010,,,"Sverdlovsk Oblast, Russia",3428.976227071877,4.726522466152435
,,Tambov Oblast,Russia,2021-10-18 04:21:10,52.9019574,41.3578918,45864,1003,,,"Tambov Oblast, Russia",4437.512577983498,2.1869004011861155
,,Tatarstan Republic,Russia,2021-10-18 04:21:10,55.7648572,52.43104273,28587,847,,,"Tatarstan Republic, Russia",734.0758917428723,2.9628852275509847
,,Tomsk Oblast,Russia,2021-10-18 04:21:10,58.6124279,82.04753149999998,45464,578,,,"Tomsk Oblast, Russia",4216.344548725749,1.2713355622030618
,,Tula Oblast,Russia,2021-10-18 04:21:10,53.9570701,37.369090899999996,57164,3226,,,"Tula Oblast, Russia",3831.739679794618,5.643411937583094
,,Tver Oblast,Russia,2021-10-18 04:21:10,57.1134475,35.174442799999994,71444,1745,,,"Tver Oblast, Russia",5564.724859857634,2.4424724259559936
,,Tyumen Oblast,Russia,2021-10-18 04:21:10,58.8206488,70.36588370000001,66247,2137,,,"Tyumen Oblast, Russia",1794.1447297150905,3.225806451612903
,,Tyva Republic,Russia,2021-10-18 04:21:10,51.401714899999995,93.8582593,27632,282,,,"Tyva Republic, Russia",8588.781618913223,1.0205558772437753
,,Udmurt Republic,Russia,2021-10-18 04:21:10,57.1961165,52.69598320000001,58314,2361,,,"Udmurt Republic, Russia",3854.0848779017656,4.048770449634736
,,Ulyanovsk Oblast,Russia,2021-10-18 04:21:10,54.146317700000004,47.2324921,88958,2809,,,"Ulyanovsk Oblast, Russia",7135.947018252584,3.157669911643697
,,Vladimir Oblast,Russia,2021-10-18 04:21:10,56.0503336,40.656163299999996,58487,2101,,,"Vladimir Oblast, Russia",4243.301892062681,3.592251269512883
,,Volgograd Oblast,Russia,2021-10-18 04:21:10,49.604833899999996,44.29035820000001,98352,3176,,,"Volgograd Oblast, Russia",3900.881934385605,3.229217504473727
,,Vologda Oblast,Russia,2021-10-18 04:21:10,60.0391461,43.1215213,73555,2059,,,"Vologda Oblast, Russia",6251.014499158231,2.7992658554822922
,,Voronezh Oblast,Russia,2021-10-18 04:21:10,50.9800393,40.15065070000001,143921,4671,,,"Voronezh Oblast, Russia",6166.894052879292,3.2455305341124645
,,Yamalo-Nenets Autonomous Okrug,Russia,2021-10-18 04:21:10,67.1471631,74.3415488,52332,720,,,"Yamalo-Nenets Autonomous Okrug, Russia",9717.257732379903,1.375831231368952
,,Yaroslavl Oblast,Russia,2021-10-18 04:21:10,57.77819760000001,39.002109499999996,65310,1295,,,"Yaroslavl Oblast, Russia",5160.055748512267,1.9828510182207932
,,Zabaykalsky Krai,Russia,2021-10-18 04:21:10,52.248521000000004,115.956325,72549,1251,,,"Zabaykalsky Krai, Russia",6762.546070771416,1.724351817392383
,,,Rwanda,2021-10-18 04:21:10,-1.9403,29.8739,99145,1313,,,Rwanda,765.4678827372228,1.3243229613192797
,,,Saint Kitts and Nevis,2021-10-18 04:21:10,17.357822,-62.782998,2550,21,,,Saint Kitts and Nevis,4793.953978041811,0.8235294117647058
,,,Saint Lucia,2021-10-18 04:21:10,13.9094,-60.9789,12228,236,,,Saint Lucia,6659.078903659008,1.9299967288191038
,,,Saint Vincent and the Grenadines,2021-10-18 04:21:10,12.9843,-61.2872,4623,53,,,Saint Vincent and the Grenadines,4166.854444013809,1.146441704520874
,,,Samoa,2021-10-18 04:21:10,-13.759,-172.1046,3,0,,,Samoa,1.5295977158007443,0.0
,,,San Marino,2021-10-18 04:21:10,43.9424,12.4578,5473,91,,,San Marino,16126.465908421238,1.66270783847981
,,,Sao Tome and Principe,2021-10-18 04:21:10,0.1864,6.6131,3677,56,,,Sao Tome and Principe,1677.7620105766996,1.5229806907805277
,,,Saudi Arabia,2021-10-18 04:21:10,23.885942,45.079162,547931,8763,,,Saudi Arabia,1573.8872099442444,1.5992889615663286
,,,Senegal,2021-10-18 04:21:10,14.4974,-14.4524,73866,1871,,,Senegal,441.150912599372,2.532965098962987
,,,Serbia,2021-10-18 04:21:10,44.0165,21.0059,1048835,9105,,,Serbia,12004.012649115237,0.8681060414650541
,,,Seychelles,2021-10-18 04:21:10,-4.6796,55.492,21854,119,,,Seychelles,22222.900142363236,0.5445227418321589
,,,Sierra Leone,2021-10-18 04:21:10,8.460555000000001,-11.779889,6396,121,,,Sierra Leone,80.18066976432827,1.8918073796122576
,,,Singapore,2021-10-18 04:21:10,1.2833,103.8333,148178,233,,,Singapore,2532.8087601017583,0.1572433154719324
,,,Slovakia,2021-10-18 04:21:10,48.669,19.699,437385,12846,,,Slovakia,8011.238097436041,2.9370005830103914
,,,Slovenia,2021-10-18 04:21:10,46.1512,14.9955,308136,4638,,,Slovenia,14821.841214623662,1.5051795311161305
,,,Solomon Islands,2021-10-18 04:21:10,-9.6457,160.1562,20,0,,,Solomon Islands,3.0634533083764004,0.0
,,,Somalia,2021-10-18 04:21:10,5.152149,46.199616,21269,1180,,,Somalia,133.82436874493456,5.5479806290845834
,,,South Africa,2021-10-18 04:21:10,-30.5595,22.9375,2916593,88612,,,South Africa,4917.6486616042275,3.038202450599038
,,,South Sudan,2021-10-18 04:21:10,6.8770000000000024,31.307,12184,130,,,South Sudan,108.84665869613244,1.066973079448457
,,Andalusia,Spain,2021-10-18 04:21:10,37.5443,-4.7278,804840,11225,,,"Andalusia, Spain",9550.270812901479,1.3946871427861438
,,Aragon,Spain,2021-10-18 04:21:10,41.5976,-0.9057,161811,3863,,,"Aragon, Spain",12252.969515048622,2.3873531465722353
,,Asturias,Spain,2021-10-18 04:21:10,43.3614,-5.8593,71073,2070,,,"Asturias, Spain",6952.910619689787,2.9124984171204256
,,Baleares,Spain,2021-10-18 04:21:10,39.710358,2.995148,99982,969,,,"Baleares, Spain",8414.435037282658,0.9691744514012522
,,C. Valenciana,Spain,2021-10-18 04:21:10,39.484,-0.7533,512151,7793,,,"C. Valenciana, Spain",10294.556609297464,1.5216215530185433
,,Canarias,Spain,2021-10-18 04:21:10,28.2916,-16.6291,96069,1004,,,"Canarias, Spain",4353.117788246958,1.0450821805160875
,,Cantabria,Spain,2021-10-18 04:21:10,43.1828,-3.9878,46528,608,,,"Cantabria, Spain",7999.436078268209,1.3067400275103163
,,Castilla - La Mancha,Spain,2021-10-18 04:21:10,39.2796,-3.0977,239232,6484,,,"Castilla - La Mancha, Spain",11756.582830313577,2.71033975387908
,,Castilla y Leon,Spain,2021-10-18 04:21:10,41.8357,-4.3976,300172,7330,,,"Castilla y Leon, Spain",12466.996963533747,2.4419332915794945
,,Catalonia,Spain,2021-10-18 04:21:10,41.5912,1.5209,923748,15797,,,"Catalonia, Spain",12208.503586433286,1.7100984251116105
,,Ceuta,Spain,2021-10-18 04:21:10,35.8894,-5.3213,7578,128,,,"Ceuta, Spain",8933.265746383902,1.6891000263921878
,,Extremadura,Spain,2021-10-18 04:21:10,39.4937,-6.0679,102908,2000,,,"Extremadura, Spain",9658.87759239514,1.9434834998250865
,,Galicia,Spain,2021-10-18 04:21:10,42.5751,-8.1339,186989,2643,,,"Galicia, Spain",6924.387535221099,1.4134521282000545
,,La Rioja,Spain,2021-10-18 04:21:10,42.2871,-2.5396,39564,823,,,"La Rioja, Spain",12617.238201236722,2.08017389546052
,,Madrid,Spain,2021-10-18 04:21:10,40.4168,-3.7038,894546,16159,,,"Madrid, Spain",13468.733442553195,1.8063911749647308
,,Melilla,Spain,2021-10-18 04:21:10,35.2923,-2.9381,11047,109,,,"Melilla, Spain",13044.197003152713,0.9866932198787001
,,Murcia,Spain,2021-10-18 04:21:10,37.9922,-1.1307,141558,1742,,,"Murcia, Spain",9515.461499008848,1.2305909945040197
,,Navarra,Spain,2021-10-18 04:21:10,42.6954,-1.6761,82830,1250,,,"Navarra, Spain",12744.135666655384,1.509115054931788
,,Pais Vasco,Spain,2021-10-18 04:21:10,42.9896,-2.6189,261760,4977,,,"Pais Vasco, Spain",12019.027678292652,1.9013600244498778
,,Unknown,Spain,2021-04-25 23:20:49,,,0,0,,,"Unknown, Spain",,
,,,Sri Lanka,2021-10-18 04:21:10,7.873054,80.77179699999998,531648,13484,,,Sri Lanka,2482.7992014290217,2.536264596123751
,,,Sudan,2021-10-18 04:21:10,12.8628,30.2176,39550,3038,,,Sudan,90.19534624397043,7.68141592920354
,,,Summer Olympics 2020,2021-10-18 04:21:10,35.6491,139.7737,865,0,,,Summer Olympics 2020,,0.0
,,,Suriname,2021-10-18 04:21:10,3.9193,-56.0278,46447,1022,,,Suriname,7917.543135924614,2.200357396602579
,,Blekinge,Sweden,2021-10-18 04:21:10,56.2784,15.017999999999999,13444,130,,,"Blekinge, Sweden",8423.242234001227,0.9669741148467718
,,Dalarna,Sweden,2021-10-18 04:21:10,61.0917,14.6664,28628,355,,,"Dalarna, Sweden",9941.451421348354,1.240044711471287
,,Gavleborg,Sweden,2021-10-18 04:21:10,61.3012,16.1534,37306,562,,,"Gavleborg, Sweden",12981.327988530946,1.5064600868493003
,,Gotland,Sweden,2021-10-18 04:21:10,57.4684,18.4867,4571,54,,,"Gotland, Sweden",7658.412358006903,1.1813607525705534
,,Halland,Sweden,2021-10-18 04:21:10,56.8967,12.8034,43191,328,,,"Halland, Sweden",12937.324770554265,0.7594174712324326
,,Jamtland Harjedalen,Sweden,2021-10-18 04:21:10,63.1712,14.9592,13168,128,,,"Jamtland Harjedalen, Sweden",10066.508676706673,0.9720534629404617
,,Jonkoping,Sweden,2021-10-18 04:21:10,57.3708,14.3439,45581,561,,,"Jonkoping, Sweden",12536.063080481521,1.2307759812202452
,,Kalmar,Sweden,2021-10-18 04:21:10,57.235,16.1849,25447,250,,,"Kalmar, Sweden",10367.657244363323,0.982434078673321
,,Kronoberg,Sweden,2021-10-18 04:21:10,56.7183,14.4115,23562,324,,,"Kronoberg, Sweden",11695.09949421499,1.3750954927425516
,,Norrbotten,Sweden,2021-10-18 04:21:10,66.8309,20.3992,27782,291,,,"Norrbotten, Sweden",11108.667575661853,1.047440789000072
,,Orebro,Sweden,2021-10-18 04:21:10,59.535,15.0066,34220,352,,,"Orebro, Sweden",11226.849953248799,1.0286382232612508
,,Ostergotland,Sweden,2021-10-18 04:21:10,58.3454,15.5198,44671,657,,,"Ostergotland, Sweden",9596.451089700213,1.470752837411296
,,Skane,Sweden,2021-10-18 04:21:10,55.9903,13.5958,165296,1785,,,"Skane, Sweden",11996.86172502063,1.079880940857613
,,Sormland,Sweden,2021-10-18 04:21:10,59.0336,16.7519,27353,482,,,"Sormland, Sweden",9193.049673993411,1.7621467480715096
,,Stockholm,Sweden,2021-10-18 04:21:10,59.6025,18.1384,277200,4459,,,"Stockholm, Sweden",11661.361139986397,1.6085858585858586
,,Uppsala,Sweden,2021-10-18 04:21:10,60.0092,17.2715,42584,547,,,"Uppsala, Sweden",11097.877840990532,1.2845200075145595
,,Varmland,Sweden,2021-10-18 04:21:10,59.7294,13.2354,21505,223,,,"Varmland, Sweden",7614.707486172781,1.0369681469425716
,,Vasterbotten,Sweden,2021-10-18 04:21:10,65.3337,16.5162,25944,196,,,"Vasterbotten, Sweden",9547.501987222891,0.7554733271662041
,,Vasternorrland,Sweden,2021-10-18 04:21:10,63.4276,17.7292,27625,481,,,"Vasternorrland, Sweden",11259.562986301034,1.7411764705882353
,,Vastmanland,Sweden,2021-10-18 04:21:10,59.6714,16.2159,30019,363,,,"Vastmanland, Sweden",10882.560858453116,1.209234151703921
,,Vastra Gotaland,Sweden,2021-10-18 04:21:10,58.2528,13.0596,202836,2428,,,"Vastra Gotaland, Sweden",11752.606350032243,1.1970261689246484
,,,Switzerland,2021-10-18 04:21:10,46.8182,8.2275,854591,11156,,,Switzerland,9874.393069688344,1.3054197856050438
,,,Syria,2021-10-18 04:21:10,34.802075,38.99681500000001,39086,2408,,,Syria,223.34018659985162,6.160773678554981
,,,Taiwan*,2021-10-18 04:21:10,23.7,121.0,16337,846,,,Taiwan*,68.59450954211894,5.178429332190733
,,,Tajikistan,2021-10-18 04:21:10,38.861,71.2761,17484,125,,,Tajikistan,183.31575037100362,0.7149393731411576
,,,Tanzania,2021-10-18 04:21:10,-6.369028,34.888822,26034,724,,,Tanzania,43.58306352843385,2.7809787201352076
,,,Thailand,2021-10-18 04:21:10,15.870032,100.992541,1783701,18273,,,Thailand,2555.4463641808024,1.0244429980136804
,,,Timor-Leste,2021-10-18 04:21:10,-8.874217,125.727539,19714,119,,,Timor-Leste,1495.2496962323712,0.6036319366947347
,,,Togo,2021-10-18 04:21:10,8.6195,0.8248,25899,239,,,Togo,312.8375741372144,0.9228155527240434
,,,Trinidad and Tobago,2021-10-18 04:21:10,10.6918,-61.2225,54114,1600,,,Trinidad and Tobago,3866.691532850157,2.9567209964149757
,,,Tunisia,2021-10-18 04:21:10,33.886917,9.537499,710906,25098,,,Tunisia,6015.136456732927,3.5304245568331116
,,,Turkey,2021-10-18 04:21:10,38.9637,35.2433,7630133,67437,,,Turkey,9046.973450631129,0.8838246987306775
1001,Autauga,Alabama,US,2021-10-18 04:21:10,32.53952745,-86.64408227,9901,146,,,"Autauga, Alabama, US",17721.813528074603,1.4745985254014746
1003,Baldwin,Alabama,US,2021-10-18 04:21:10,30.72774991,-87.72207058,37087,540,,,"Baldwin, Alabama, US",16613.508694912067,1.456035807695419
1005,Barbour,Alabama,US,2021-10-18 04:21:10,31.868263,-85.3871286,3556,75,,,"Barbour, Alabama, US",14404.925868913557,2.109111361079865
1007,Bibb,Alabama,US,2021-10-18 04:21:10,32.99642064,-87.12511459999996,4217,86,,,"Bibb, Alabama, US",18830.93685808699,2.0393644771164334
1009,Blount,Alabama,US,2021-10-18 04:21:10,33.98210918,-86.56790593,10102,174,,,"Blount, Alabama, US",17469.650330301247,1.7224312017422292
1011,Bullock,Alabama,US,2021-10-18 04:21:10,32.10030533,-85.71265535,1517,44,,,"Bullock, Alabama, US",15018.31501831502,2.9004614370468027
1013,Butler,Alabama,US,2021-10-18 04:21:10,31.75300095,-86.68057478,3248,94,,,"Butler, Alabama, US",16700.94611271082,2.894088669950739
1015,Calhoun,Alabama,US,2021-10-18 04:21:10,33.77483727,-85.82630386,22159,470,,,"Calhoun, Alabama, US",19505.303463756,2.121034342704996
1017,Chambers,Alabama,US,2021-10-18 04:21:10,32.91360079,-85.39072749,5560,142,,,"Chambers, Alabama, US",16719.793107596077,2.553956834532374
1019,Cherokee,Alabama,US,2021-10-18 04:21:10,34.17805983,-85.60638968,3000,57,,,"Cherokee, Alabama, US",11452.130096197892,1.9
1021,Chilton,Alabama,US,2021-10-18 04:21:10,32.85044126,-86.7173256,6592,160,,,"Chilton, Alabama, US",14837.489871252363,2.4271844660194173
1023,Choctaw,Alabama,US,2021-10-18 04:21:10,32.02227341,-88.26564429999998,870,27,,,"Choctaw, Alabama, US",6910.795138613075,3.103448275862069
1025,Clarke,Alabama,US,2021-10-18 04:21:10,31.68099859,-87.83548597,4734,82,,,"Clarke, Alabama, US",20040.640081280162,1.7321504013519222
1027,Clay,Alabama,US,2021-10-18 04:21:10,33.26984193,-85.85836077,2407,67,,,"Clay, Alabama, US",18186.62636947488,2.7835479850436227
1029,Cleburne,Alabama,US,2021-10-18 04:21:10,33.67679204,-85.52005899,2470,58,,,"Cleburne, Alabama, US",16566.063044936283,2.348178137651822
1031,Coffee,Alabama,US,2021-10-18 04:21:10,31.39932826,-85.98901039,9182,189,,,"Coffee, Alabama, US",17542.317832715602,2.0583750816815507
1033,Colbert,Alabama,US,2021-10-18 04:21:10,34.69847452,-87.80168544,8791,200,,,"Colbert, Alabama, US",15913.904527434332,2.275054032533273
1035,Conecuh,Alabama,US,2021-10-18 04:21:10,31.43401703,-86.99320044,1856,52,,,"Conecuh, Alabama, US",15380.790585895415,2.8017241379310347
1037,Coosa,Alabama,US,2021-10-18 04:21:10,32.93690146,-86.24847739,1788,38,,,"Coosa, Alabama, US",16768.264090781206,2.1252796420581657
1039,Covington,Alabama,US,2021-10-18 04:21:10,31.247785399999998,-86.45050893,6685,179,,,"Covington, Alabama, US",18043.671893978244,2.6776364996260282
1041,Crenshaw,Alabama,US,2021-10-18 04:21:10,31.72941803,-86.31593104,2437,75,,,"Crenshaw, Alabama, US",17695.323845483592,3.0775543701272055
1043,Cullman,Alabama,US,2021-10-18 04:21:10,34.13020303,-86.86888037,15325,290,,,"Cullman, Alabama, US",18294.575494222136,1.8923327895595432
1045,Dale,Alabama,US,2021-10-18 04:21:10,31.43037123,-85.61095742,8864,181,,,"Dale, Alabama, US",18026.51915724396,2.041967509025271
1047,Dallas,Alabama,US,2021-10-18 04:21:10,32.32688101,-87.10866709999998,4889,199,,,"Dallas, Alabama, US",13143.886439402086,4.070362037226427
1049,DeKalb,Alabama,US,2021-10-18 04:21:10,34.45946862,-85.80782906,12574,259,,,"DeKalb, Alabama, US",17582.817110175773,2.0598059487832034
1051,Elmore,Alabama,US,2021-10-18 04:21:10,32.59785413,-86.14415284,15086,284,,,"Elmore, Alabama, US",18576.758733637897,1.8825401034071325
1053,Escambia,Alabama,US,2021-10-18 04:21:10,31.1256789,-87.15918694,6743,127,,,"Escambia, Alabama, US",18406.90088171867,1.8834346729942162
1055,Etowah,Alabama,US,2021-10-18 04:21:10,34.04567266,-86.04051873,19764,496,,,"Etowah, Alabama, US",19325.693276489223,2.509613438575187
1057,Fayette,Alabama,US,2021-10-18 04:21:10,33.72076938,-87.73886638,2909,79,,,"Fayette, Alabama, US",17844.436265488897,2.7157098659333103
1059,Franklin,Alabama,US,2021-10-18 04:21:10,34.44235334,-87.84289505,5935,105,,,"Franklin, Alabama, US",18924.17575409732,1.7691659646166806
1061,Geneva,Alabama,US,2021-10-18 04:21:10,31.09389027,-85.83572839,4564,126,,,"Geneva, Alabama, US",17372.768451905144,2.7607361963190185
1063,Greene,Alabama,US,2021-10-18 04:21:10,32.85504247,-87.95684022,1258,44,,,"Greene, Alabama, US",15509.801504130193,3.4976152623211445
1065,Hale,Alabama,US,2021-10-18 04:21:10,32.76039258,-87.63284988,3094,87,,,"Hale, Alabama, US",21118.01242236025,2.8118939883645764
1067,Henry,Alabama,US,2021-10-18 04:21:10,31.51148016,-85.24267944,3112,65,,,"Henry, Alabama, US",18087.765184539374,2.088688946015424
1069,Houston,Alabama,US,2021-10-18 04:21:10,31.15197924,-85.29939599,17310,405,,,"Houston, Alabama, US",16348.387827959426,2.339688041594454
1071,Jackson,Alabama,US,2021-10-18 04:21:10,34.78144169,-85.99750489,9793,180,,,"Jackson, Alabama, US",18969.12408476349,1.838047585009701
1073,Jefferson,Alabama,US,2021-10-18 04:21:10,33.55554728,-86.89506300000002,114056,1910,,,"Jefferson, Alabama, US",17318.657157217196,1.6746159781160133
1075,Lamar,Alabama,US,2021-10-18 04:21:10,33.77995024,-88.09668032,2178,46,,,"Lamar, Alabama, US",15776.892430278884,2.1120293847566574
1077,Lauderdale,Alabama,US,2021-10-18 04:21:10,34.90171875,-87.65624729,14157,294,,,"Lauderdale, Alabama, US",15267.068554605357,2.0767111676202585
1079,Lawrence,Alabama,US,2021-10-18 04:21:10,34.52041498,-87.31069453,4266,117,,,"Lawrence, Alabama, US",12957.113351962094,2.742616033755274
1081,Lee,Alabama,US,2021-10-18 04:21:10,32.60154883,-85.35132246,23149,240,,,"Lee, Alabama, US",14068.74840466264,1.0367618471640243
1083,Limestone,Alabama,US,2021-10-18 04:21:10,34.81185586,-86.98310072,15222,198,,,"Limestone, Alabama, US",15388.970328059446,1.30074891604257
1085,Lowndes,Alabama,US,2021-10-18 04:21:10,32.1597283,-86.65158371,1741,61,,,"Lowndes, Alabama, US",17900.472959078754,3.50373348650201
1087,Macon,Alabama,US,2021-10-18 04:21:10,32.38759944,-85.69267724,2307,62,,,"Macon, Alabama, US",12768.430374142128,2.6874729085392284
1089,Madison,Alabama,US,2021-10-18 04:21:10,34.76327133,-86.55069633,52017,686,,,"Madison, Alabama, US",13948.979509746345,1.3187996232001076
1091,Marengo,Alabama,US,2021-10-18 04:21:10,32.24767634,-87.78796182,3340,89,,,"Marengo, Alabama, US",17706.621428192757,2.6646706586826348
1093,Marion,Alabama,US,2021-10-18 04:21:10,34.13697363,-87.88704173,4958,126,,,"Marion, Alabama, US",16688.54555858494,2.5413473174667205
1095,Marshall,Alabama,US,2021-10-18 04:21:10,34.36975964,-86.30486727,18254,300,,,"Marshall, Alabama, US",18862.504391675448,1.6434754026514737
1097,Mobile,Alabama,US,2021-10-18 04:21:10,30.78472347,-88.20842409,72269,1323,,,"Mobile, Alabama, US",17489.654171002643,1.8306604491552394
1099,Monroe,Alabama,US,2021-10-18 04:21:10,31.56729412,-87.36995001,3304,62,,,"Monroe, Alabama, US",15935.947523272078,1.8765133171912833
1101,Montgomery,Alabama,US,2021-10-18 04:21:10,32.2206831,-86.20969272,33971,725,,,"Montgomery, Alabama, US",14999.161096050088,2.1341732654322803
1103,Morgan,Alabama,US,2021-10-18 04:21:10,34.45500589,-86.85475946,20659,372,,,"Morgan, Alabama, US",17262.009207964642,1.8006679897381286
80001,Out of AL,Alabama,US,2020-12-21 13:27:30,,,0,0,,,"Out of AL, Alabama, US",,
1105,Perry,Alabama,US,2021-10-18 04:21:10,32.64048341,-87.29770589,1380,40,,,"Perry, Alabama, US",15465.650565953154,2.898550724637681
1107,Pickens,Alabama,US,2021-10-18 04:21:10,33.28094866,-88.08818103,3139,82,,,"Pickens, Alabama, US",15750.125439036628,2.6122969098438995
1109,Pike,Alabama,US,2021-10-18 04:21:10,31.80396383,-85.9408295,4720,105,,,"Pike, Alabama, US",14253.789937790663,2.2245762711864407
1111,Randolph,Alabama,US,2021-10-18 04:21:10,33.29526734,-85.45708831,3276,63,,,"Randolph, Alabama, US",14417.744916820704,1.9230769230769231
1113,Russell,Alabama,US,2021-10-18 04:21:10,32.28725256,-85.18415324,6261,58,,,"Russell, Alabama, US",10802.091061230827,0.9263695895224405
1117,Shelby,Alabama,US,2021-10-18 04:21:10,33.26879845,-86.66232561,37304,341,,,"Shelby, Alabama, US",17135.350157554818,0.914111087282865
1115,St. Clair,Alabama,US,2021-10-18 04:21:10,33.71902176,-86.31029372,15921,337,,,"St. Clair, Alabama, US",17786.442041290553,2.1167012122354123
1119,Sumter,Alabama,US,2021-10-18 04:21:10,32.59117397,-88.19916205,1311,38,,,"Sumter, Alabama, US",10549.609720769293,2.898550724637681
1121,Talladega,Alabama,US,2021-10-18 04:21:10,33.37823223,-86.16886178,13723,272,,,"Talladega, Alabama, US",17158.468578859185,1.9820738905487139
1123,Tallapoosa,Alabama,US,2021-10-18 04:21:10,32.86698258,-85.79833053,7044,195,,,"Tallapoosa, Alabama, US",17449.897193251913,2.7683134582623508
1125,Tuscaloosa,Alabama,US,2021-10-18 04:21:10,33.28726072,-87.52556818,34966,599,,,"Tuscaloosa, Alabama, US",16701.774497862483,1.7130927186409655
90001,Unassigned,Alabama,US,2020-12-21 13:27:30,,,0,0,,,"Unassigned, Alabama, US",,
1127,Walker,Alabama,US,2021-10-18 04:21:10,33.80270512,-87.30027177,11089,366,,,"Walker, Alabama, US",17457.21887249886,3.3005681305798538
1129,Washington,Alabama,US,2021-10-18 04:21:10,31.4092794,-88.20689944,2511,51,,,"Washington, Alabama, US",15380.374862183022,2.031063321385902
1131,Wilcox,Alabama,US,2021-10-18 04:21:10,31.98773215,-87.30891118,1677,38,,,"Wilcox, Alabama, US",16166.971946399306,2.2659511031604054
1133,Winston,Alabama,US,2021-10-18 04:21:10,34.15030532,-87.37325922,4476,101,,,"Winston, Alabama, US",18942.824495323544,2.2564789991063448
2013,Aleutians East,Alaska,US,2021-10-18 04:21:10,55.32222414,-161.9722021,435,3,,,"Aleutians East, Alaska, US",13035.660773149537,0.6896551724137931
2016,Aleutians West,Alaska,US,2021-10-18 04:21:10,52.3233,-174.1596,922,1,,,"Aleutians West, Alaska, US",16364.927227547036,0.10845986984815618
2020,Anchorage,Alaska,US,2021-10-18 04:21:10,61.14998174,-149.14269860000005,53032,299,,,"Anchorage, Alaska, US",18413.88888888889,0.5638105294916277
2050,Bethel,Alaska,US,2021-10-18 04:21:10,60.90980451,-159.8561831,5630,25,,,"Bethel, Alaska, US",30621.124768845864,0.44404973357015987
2060,Bristol Bay,Alaska,US,2021-10-18 04:21:10,58.74513976,-156.701064,0,0,,,"Bristol Bay, Alaska, US",0.0,
2164,Bristol Bay plus Lake and Peninsula,Alaska,US,2021-10-18 04:21:10,58.62403337,-156.21405890000003,432,0,,,"Bristol Bay plus Lake and Peninsula, Alaska, US",10746.268656716418,0.0
2063,Chugach,Alaska,US,2021-10-18 04:21:10,61.16666,-149.9,1051,5,,,"Chugach, Alaska, US",15568.063990519922,0.47573739295908657
2066,Copper River,Alaska,US,2021-10-18 04:21:10,60.3886,-162.8905196,518,1,,,"Copper River, Alaska, US",19192.293442015558,0.19305019305019305
2068,Denali,Alaska,US,2021-10-18 04:21:10,63.67264044,-150.0076108,258,1,,,"Denali, Alaska, US",12303.290414878398,0.3875968992248062
2070,Dillingham,Alaska,US,2021-10-18 04:21:10,59.79603738,-158.23819419999995,735,5,,,"Dillingham, Alaska, US",14951.179820992676,0.6802721088435374
2090,Fairbanks North Star,Alaska,US,2021-10-18 04:21:10,64.80726247,-146.5692662,14633,72,,,"Fairbanks North Star, Alaska, US",15109.087342151184,0.4920385430192032
2100,Haines,Alaska,US,2021-10-18 04:21:10,59.09893571,-135.4679843,228,0,,,"Haines, Alaska, US",9011.857707509882,0.0
2110,Juneau,Alaska,US,2021-10-18 04:21:10,58.45031811,-134.200436,3615,9,,,"Juneau, Alaska, US",11306.061174704448,0.24896265560165975
